ID_Cliente,Evasion,Genero,Adulto_Mayor,Pareja,Dependientes,Antiguedad_Meses,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Copia_Seguridad_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias
2252-JHJGE,No,Masculino,No,No,No,61,Si,Si,Fibra optica,Si,No,Si,No,Si,Si,Anual,No,Cheque electrónico,104.0,6363.45,3.47
2252-NKNSI,No,Masculino,No,No,Si,52,Si,Si,DSL,Si,Si,No,Si,Si,Si,Doble,Si,Cheque por correo,85.15,4461.85,2.84
2253-KPMNB,No,Femenino,No,Si,Si,69,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,No,Doble,No,Transferencia bancaria,46.25,3121.4,1.54
2254-DLXRI,No,Femenino,No,No,No,1,Si,Si,Fibra optica,No,Si,No,No,No,No,Mensual,Si,Cheque por correo,79.15,79.15,2.64
2256-YLYLP,No,Masculino,No,Si,Si,68,Si,No,DSL,No,No,Si,Si,Si,Si,Doble,Si,Transferencia bancaria,72.95,4953.25,2.43
2257-BOVXD,No,Masculino,No,Si,No,14,Si,Si,DSL,No,No,No,Si,Si,No,Mensual,Si,Tarjeta de credito,66.6,979.5,2.22
2259-OUUSZ,No,Masculino,No,No,No,7,No,Sin servicio telefonico,DSL,No,No,Si,Si,No,No,Anual,Si,Tarjeta de credito,35.5,249.55,1.18
2260-USTRB,Yes,Femenino,Si,No,No,2,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria,70.2,115.95,2.34
2262-SLNVK,No,Femenino,No,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque electrónico,70.1,70.1,2.34
2263-SFSQZ,No,Masculino,No,Si,Si,51,Si,Si,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,Si,Cheque por correo,24.95,1222.25,0.83
2265-CYWIV,Yes,Femenino,Si,Si,No,4,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,99.6,347.65,3.32
2266-FUBDZ,No,Masculino,No,Si,Si,15,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Cheque por correo,19.35,278.85,0.64
2266-SJNAT,No,Femenino,No,Si,No,72,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Anual,No,Tarjeta de credito,109.15,7789.6,3.64
2267-FPIMA,No,Masculino,No,Si,No,50,Si,Si,Fibra optica,Si,Si,No,No,No,Si,Mensual,Si,Tarjeta de credito,94.4,4914.9,3.15
2267-WTPYD,No,Femenino,Si,Si,No,57,Si,Si,Fibra optica,No,Si,Si,No,No,Si,Mensual,No,Tarjeta de credito,94.0,5438.95,3.13
2270-CHBFN,No,Femenino,No,Si,No,44,Si,Si,Fibra optica,Si,Si,Si,Si,No,No,Mensual,Si,Tarjeta de credito,95.1,4060.55,3.17
2272-JKMSI,No,Femenino,No,Si,Si,62,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Anual,Si,Cheque electrónico,110.8,6840.95,3.69
2272-QAGFO,Yes,Femenino,Si,No,No,14,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,74.3,1096.25,2.48
2272-UOINI,No,Femenino,No,No,No,7,Si,No,DSL,Si,Si,No,Si,Si,Si,Mensual,Si,Cheque electrónico,78.5,571.05,2.62
2272-WUSPA,No,Femenino,No,Si,No,72,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Doble,Si,Cheque electrónico,110.75,7751.7,3.69
2273-QCKXA,No,Masculino,No,No,No,1,Si,No,DSL,No,No,No,Si,No,No,Mensual,No,Cheque por correo,49.05,49.05,1.64
2274-XUATA,No,Masculino,Si,Si,No,72,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,Si,Si,Doble,Si,Transferencia bancaria,63.1,4685.55,2.1
2275-RBYQS,No,Femenino,No,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por correo,45.4,45.4,1.51
2276-YDAVZ,Yes,Femenino,No,No,No,3,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito,75.1,270.7,2.5
2277-AXSDC,No,Femenino,No,No,No,32,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Transferencia bancaria,19.75,624.15,0.66
2277-BKJKN,No,Femenino,Si,Si,No,71,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Doble,Si,Cheque electrónico,99.2,7213.75,3.31
2277-DJJDL,No,Masculino,Si,Si,No,60,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electrónico,99.0,6017.9,3.3
2277-VWCNI,No,Femenino,Si,No,No,4,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque por correo,48.75,179.85,1.62
2279-AXJJK,No,Masculino,No,Si,No,52,Si,Si,Fibra optica,No,Si,No,Si,No,Si,Mensual,Si,Tarjeta de credito,95.65,5088.4,3.19
2282-YGNOR,No,Femenino,No,No,No,29,Si,No,DSL,Si,No,Si,Si,No,No,Anual,No,Tarjeta de credito,58.0,1734.5,1.93
2284-VFLKH,No,Masculino,No,Si,No,49,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Anual,Si,Tarjeta de credito,99.25,4920.8,3.31
2292-XQWSV,No,Masculino,No,Si,Si,40,No,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Anual,No,Cheque por correo,60.3,2448.5,2.01
2293-IJWPS,No,Femenino,No,Si,No,57,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Anual,Si,Tarjeta de credito,100.75,5985,3.36
2294-DMMUS,No,Femenino,No,Si,Si,62,Si,Si,DSL,No,No,No,No,Si,Si,Mensual,Si,Tarjeta de credito,70.45,4300.45,2.35
2294-SALNE,No,Masculino,No,Si,Si,23,Si,No,Fibra optica,No,Si,Si,Si,No,No,Anual,No,Cheque por correo,86.8,1940.8,2.89
2296-DKZFP,No,Femenino,No,Si,No,65,Si,No,DSL,Si,Si,Si,No,No,Si,Doble,No,Transferencia bancaria,71.0,4386.2,2.37
2300-RQGOI,No,Femenino,No,No,No,38,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Cheque por correo,20.05,741.5,0.67
2302-ANTDP,Yes,Femenino,Si,Si,No,48,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Mensual,No,Cheque electrónico,117.45,5438.9,3.92
2302-OUZXB,No,Masculino,No,Si,No,72,Si,Si,DSL,No,Si,Si,No,Si,Si,Doble,No,Transferencia bancaria,82.15,5784.3,2.74
2303-PJYHN,No,Femenino,No,Si,No,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Transferencia bancaria,19.85,52,0.66
2305-MRGLV,No,Masculino,No,Si,No,28,Si,No,Fibra optica,No,No,No,Si,No,No,Mensual,No,Transferencia bancaria,76.55,2065.4,2.55
2307-FYNNL,No,Masculino,Si,No,No,65,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Doble,Si,Cheque electrónico,109.05,7108.2,3.64
2308-STERM,No,Femenino,No,No,No,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,19.4,61.05,0.65
2309-OSFEU,Yes,Masculino,No,No,No,10,No,Sin servicio telefonico,DSL,No,No,No,No,No,Si,Mensual,Si,Cheque por correo,33.9,298.45,1.13
2311-QYMUQ,Yes,Femenino,No,Si,Si,16,Si,No,Fibra optica,No,Si,Si,No,Si,No,Mensual,Si,Tarjeta de credito,89.45,1430.25,2.98
2314-TNDJQ,No,Femenino,No,Si,Si,72,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,Si,Doble,No,Tarjeta de credito,55.65,3880.05,1.86
2316-ESMLS,No,Femenino,No,Si,Si,12,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Anual,No,Tarjeta de credito,33.15,444.75,1.1
2320-JRSDE,Yes,Femenino,No,Si,Si,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque electrónico,19.9,19.9,0.66
2320-SLKMB,No,Femenino,No,No,No,26,No,Sin servicio telefonico,DSL,No,No,Si,Si,Si,No,Mensual,Si,Tarjeta de credito,44.45,1183.8,1.48
2320-TZRRH,No,Femenino,No,No,No,20,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Cheque por correo,19.5,403.15,0.65
2320-YKQBO,No,Femenino,No,No,No,7,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,19.3,144.95,0.64
2321-OMBXY,Yes,Femenino,No,Si,Si,38,Si,No,DSL,Si,Si,No,Si,Si,Si,Anual,No,Tarjeta de credito,80.3,3058.65,2.68
2322-VCZHZ,No,Masculino,Si,Si,No,23,Si,No,Fibra optica,Si,Si,No,No,No,Si,Mensual,Si,Cheque electrónico,90.0,2024.1,3.0
2323-ARSVR,No,Masculino,No,Si,No,67,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,Si,Cheque electrónico,111.05,7321.05,3.7
2324-AALNO,No,Femenino,No,No,No,48,Si,Si,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Transferencia bancaria,24.55,1203.95,0.82
2324-EFHVG,No,Masculino,No,No,No,64,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Doble,Si,Transferencia bancaria,104.4,6692.65,3.48
2325-NBPZG,No,Femenino,No,No,No,3,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,Si,Cheque electrónico,74.55,233.65,2.48
2325-WINES,No,Femenino,No,No,No,32,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Anual,Si,Tarjeta de credito,104.05,3416.85,3.47
2325-ZUSFD,Yes,Femenino,No,Si,Si,57,Si,No,DSL,Si,No,No,No,Si,Si,Anual,Si,Transferencia bancaria,70.1,3913.3,2.34
2330-PQGDQ,No,Masculino,No,Si,Si,51,Si,Si,Fibra optica,No,Si,No,Si,No,No,Anual,No,Transferencia bancaria,84.2,4299.75,2.81
2332-EFBJY,Yes,Masculino,No,No,No,16,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque por correo,19.7,342.4,0.66
2332-TODQS,No,Femenino,No,No,No,48,Si,Si,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Tarjeta de credito,25.05,1171.5,0.84
2333-KWEWW,No,Masculino,No,No,No,18,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Tarjeta de credito,20.05,388.6,0.67
2335-GSODA,No,Masculino,No,No,Si,23,No,Sin servicio telefonico,DSL,Si,No,Si,Si,No,No,Doble,No,Cheque por correo,40.1,857.75,1.34
2338-BQEZT,No,Femenino,No,No,No,55,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Tarjeta de credito,50.55,2832.75,1.68
2342-CKIAO,No,Femenino,No,No,No,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,20.3,41.2,0.68
2344-JMOGN,Yes,Masculino,No,Si,No,9,Si,No,Fibra optica,No,Si,Si,Si,Si,No,Mensual,Si,Cheque por correo,94.85,890.6,3.16
2346-CZYIL,No,Masculino,No,No,No,27,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Tarjeta de credito,20.35,531.6,0.68
2346-DJQTB,No,Femenino,No,No,No,35,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,24.15,812.5,0.8
2346-LOCWC,No,Femenino,No,Si,Si,58,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Tarjeta de credito,20.5,1191.4,0.68
2347-WKKAE,No,Masculino,No,Si,No,42,Si,Si,Fibra optica,Si,No,Si,No,No,Si,Mensual,Si,Cheque electrónico,94.4,4014.6,3.15
2348-KCJLT,No,Femenino,No,Si,No,44,Si,No,DSL,Si,Si,Si,No,No,No,Anual,Si,Cheque por correo,61.5,2722.2,2.05
2351-BKRZW,No,Femenino,No,Si,Si,43,Si,No,DSL,Si,No,Si,No,Si,Si,Doble,No,Transferencia bancaria,75.2,3254.35,2.51
2351-RRBUE,No,Femenino,No,Si,Si,7,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Cheque por correo,20.65,134.05,0.69
2353-VPYNS,,Masculino,Si,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,73.65,73.65,2.46
2357-COQEK,Yes,Femenino,Si,No,No,28,Si,Si,Fibra optica,No,No,Si,Si,Si,Si,Mensual,Si,Cheque electrónico,103.3,2890.65,3.44
2359-KLTEK,No,Femenino,No,Si,Si,41,Si,No,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Transferencia bancaria,94.9,3848,3.16
2359-KMGLI,Yes,Masculino,No,No,No,24,Si,Si,Fibra optica,No,Si,No,No,No,No,Mensual,Si,Cheque electrónico,80.25,1861.5,2.68
2359-QWQUL,Yes,Femenino,No,Si,No,39,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Anual,Si,Tarjeta de credito,104.7,4134.85,3.49
2360-RDGRO,No,Masculino,No,Si,No,65,Si,Si,Fibra optica,Si,No,Si,No,Si,Si,Mensual,Si,Cheque electrónico,104.25,6812.95,3.48
2361-FJWNO,No,Masculino,No,No,No,40,No,Sin servicio telefonico,DSL,No,Si,No,Si,No,No,Anual,No,Tarjeta de credito,36.0,1382.9,1.2
2361-UPSND,No,Femenino,No,Si,No,46,Si,No,DSL,Si,Si,No,Si,No,Si,Anual,No,Cheque por correo,70.6,3231.05,2.35
2362-IBOOY,Yes,Masculino,No,No,No,36,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque electrónico,84.75,3050.15,2.82
2363-BJLSL,No,Masculino,No,No,No,62,Si,No,DSL,No,Si,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria,80.4,4981.15,2.68
2364-UFROM,No,Masculino,No,No,No,30,Si,No,DSL,Si,Si,No,Si,Si,No,Anual,No,Cheque electrónico,70.4,2044.75,2.35
2368-GAKKQ,No,Femenino,No,No,No,70,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,Si,Transferencia bancaria,113.65,7939.25,3.79
2369-FEVNO,No,Masculino,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque por correo,19.9,19.9,0.66
2369-UAPKZ,Yes,Masculino,No,No,No,5,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,No,Cheque por correo,104.1,541.9,3.47
2371-JQHZZ,No,Masculino,No,Si,No,24,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,93.0,2248.05,3.1
2371-JUNGC,No,Masculino,No,No,No,11,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,20.25,208,0.68
2371-KFUOG,No,Masculino,No,No,No,58,Si,No,Fibra optica,Si,Si,No,No,Si,Si,Anual,No,Transferencia bancaria,99.15,5720.95,3.3
2372-HWUHI,Yes,Masculino,No,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,44.35,81.25,1.48
2373-NTKOD,No,Masculino,No,No,No,8,Si,No,DSL,No,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,66.25,546.45,2.21
2378-HTWFW,No,Masculino,Si,No,No,35,Si,Si,Fibra optica,Si,No,No,No,No,Si,Mensual,No,Tarjeta de credito,91.0,3180.5,3.03
2378-VTKDH,No,Masculino,Si,Si,No,65,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electrónico,104.35,6578.55,3.48
2378-YIZKA,No,Femenino,No,Si,Si,68,Si,No,DSL,Si,Si,Si,Si,Si,Si,Doble,Si,Tarjeta de credito,85.0,5607.75,2.83
2379-ENZGV,Yes,Masculino,No,No,No,6,Si,No,Fibra optica,No,Si,No,No,Si,No,Mensual,Si,Cheque electrónico,84.85,523.5,2.83
2379-GYFLQ,No,Masculino,No,No,No,46,Si,Si,Fibra optica,No,Si,Si,No,Si,No,Anual,Si,Tarjeta de credito,94.9,4422.95,3.16
2380-DAMQP,No,Femenino,No,Si,No,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,No,Cheque electrónico,115.15,8349.7,3.84
2382-BCKQJ,Yes,Femenino,No,No,Si,62,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Anual,Si,Cheque electrónico,100.15,6413.65,3.34
2384-OVPSA,No,Femenino,Si,No,No,38,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Cheque por correo,20.2,735.9,0.67
2386-LAHRK,Yes,Masculino,No,No,No,1,Si,No,DSL,No,No,No,No,Si,No,Mensual,Si,Cheque por correo,53.5,53.5,1.78
2386-OWURY,No,Femenino,No,No,No,58,Si,No,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electrónico,95.3,5817.7,3.18
2387-KDZQY,No,Masculino,No,No,No,17,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,Si,Cheque por correo,20.1,279.5,0.67
2388-LAESQ,No,Femenino,Si,Si,No,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Doble,Si,Transferencia bancaria,114.85,8317.95,3.83
2391-IPLOP,No,Masculino,No,Si,Si,50,Si,Si,DSL,No,No,Si,Si,Si,No,Anual,Si,Cheque electrónico,69.65,3442.15,2.32
2391-SOORI,Yes,Masculino,No,No,Si,4,Si,No,DSL,Si,No,No,No,No,No,Mensual,No,Cheque electrónico,49.35,219.65,1.64
2393-DIVAI,No,Femenino,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque por correo,20.0,61.7,0.67
2397-BRLOM,Yes,Masculino,Si,Si,Si,8,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Tarjeta de credito,80.45,583.45,2.68
2398-YPMUR,Yes,Femenino,Si,Si,No,13,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,70.15,916.75,2.34
2400-FEQME,No,Masculino,No,Si,Si,55,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Cheque por correo,20.5,1177.95,0.68
2400-XIWIO,No,Femenino,No,Si,No,71,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Doble,No,Cheque electrónico,90.1,6310.9,3.0
2402-TAIRZ,No,Femenino,No,No,No,37,Si,No,Fibra optica,No,Si,Si,No,No,No,Anual,No,Cheque electrónico,80.05,3019.1,2.67
2403-BCASL,Yes,Masculino,Si,Si,Si,41,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Anual,Si,Cheque electrónico,111.95,4534.9,3.73
2404-JIBFC,No,Femenino,No,Si,Si,55,Si,Si,DSL,Si,No,Si,Si,Si,Si,Doble,Si,Transferencia bancaria,85.1,4657.95,2.84
2405-LBMUW,No,Femenino,No,Si,Si,61,No,Sin servicio telefonico,DSL,Si,Si,No,Si,No,Si,Anual,Si,Transferencia bancaria,50.7,3088.75,1.69
2408-PSJVE,No,Masculino,No,Si,Si,44,Si,No,DSL,No,Si,Si,Si,No,No,Mensual,Si,Cheque por correo,61.9,2924.05,2.06
2408-TZMJL,Yes,Masculino,No,Si,No,59,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Anual,Si,Cheque electrónico,110.15,6448.05,3.67
2408-WITXK,Yes,Femenino,Si,No,No,10,No,Sin servicio telefonico,DSL,No,No,No,No,No,Si,Mensual,Si,Cheque electrónico,34.7,329.8,1.16
2410-CIYFZ,No,Masculino,No,No,Si,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,20.4,42.9,0.68
2418-TPEUN,No,Femenino,No,Si,Si,56,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,Si,Tarjeta de credito,19.8,1119.9,0.66
2419-FSORS,No,Masculino,No,Si,No,72,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Doble,Si,Cheque electrónico,108.4,7719.5,3.61
2424-GXJQO,,Femenino,No,No,No,3,Si,No,DSL,No,No,Si,No,Si,No,Mensual,No,Cheque electrónico,57.55,161.45,1.92
2424-WVHPL,No,Masculino,Si,No,No,1,Si,No,Fibra optica,No,No,No,Si,No,No,Mensual,No,Cheque electrónico,74.7,74.7,2.49
2428-HYUNX,No,Masculino,Si,Si,No,44,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,Si,Tarjeta de credito,19.35,847.25,0.64
2428-ZMCTB,No,Masculino,No,No,No,10,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Tarjeta de credito,19.75,208.25,0.66
2429-AYKKO,No,Masculino,No,No,No,72,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,No,Transferencia bancaria,19.85,1434.1,0.66
2430-RRYUW,No,Masculino,No,No,No,66,Si,No,DSL,Si,Si,No,No,No,No,Anual,Si,Cheque por correo,54.8,3465.7,1.83
2430-USGXP,Yes,Masculino,No,Si,No,24,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electrónico,101.05,2391.8,3.37
2432-TFSMK,No,Masculino,No,No,No,18,Si,Si,Fibra optica,No,No,Si,No,Si,No,Anual,Si,Tarjeta de credito,89.6,1633,2.99
2433-KMEAS,Yes,Masculino,No,No,No,22,Si,Si,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electrónico,54.45,1127.35,1.82
2434-EEVDB,No,Femenino,No,Si,No,64,Si,Si,Fibra optica,Si,No,Si,No,Si,No,Doble,Si,Tarjeta de credito,94.6,5948.7,3.15
2436-QBZFP,No,Femenino,No,Si,Si,22,No,Sin servicio telefonico,DSL,No,Si,No,No,Si,No,Mensual,No,Cheque electrónico,39.2,849.9,1.31
2439-LYPMQ,No,Masculino,Si,Si,No,38,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electrónico,102.6,4009.2,3.42
2439-QKJUL,No,Masculino,No,No,No,5,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Cheque por correo,20.25,109.8,0.68
2446-BEGGB,Yes,Femenino,Si,No,No,6,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,98.25,560.6,3.28
2446-PLQVO,Yes,Masculino,No,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,70.3,70.3,2.34
2446-ZKVAF,No,Masculino,No,Si,No,18,Si,Si,DSL,No,Si,No,No,No,No,Mensual,No,Tarjeta de credito,56.8,1074.65,1.89
2450-ZKEED,No,Femenino,No,No,No,11,Si,No,DSL,No,No,Si,Si,No,No,Anual,No,Transferencia bancaria,53.8,651.55,1.79
2451-YMUXS,No,Masculino,Si,No,No,67,Si,Si,DSL,Si,Si,No,Si,No,No,Doble,Si,Transferencia bancaria,64.55,4250.1,2.15
2452-KDRRH,No,Masculino,Si,No,No,67,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Tarjeta de credito,101.4,6841.05,3.38
2452-MRMZF,No,Femenino,Si,Si,No,72,Si,Si,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Doble,Si,Tarjeta de credito,25.7,1937.4,0.86
2452-SNHFZ,No,Femenino,No,No,No,47,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,No,Tarjeta de credito,75.45,3545.1,2.52
2453-SAFNS,No,Femenino,Si,No,No,54,Si,Si,DSL,No,Si,No,Si,Si,No,Anual,No,Cheque por correo,72.1,3886.05,2.4
2454-RPBRZ,Yes,Femenino,Si,Si,No,12,Si,Si,Fibra optica,No,Si,Si,No,Si,No,Mensual,Si,Cheque electrónico,98.1,1060.2,3.27
2455-USLMV,No,Femenino,No,No,No,31,Si,Si,Fibra optica,Si,No,Si,No,No,No,Mensual,Si,Tarjeta de credito,84.75,2613.4,2.82
2458-EOMRE,No,Femenino,No,No,No,11,Si,No,DSL,Si,No,Si,No,No,Si,Mensual,No,Transferencia bancaria,64.05,733.95,2.13
2460-FPSYH,Yes,Femenino,Si,No,No,40,No,Sin servicio telefonico,DSL,Si,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,55.8,2109.35,1.86
2460-NGXBJ,No,Masculino,Si,Si,Si,11,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito,75.2,775.3,2.51
2462-XIIJB,Yes,Masculino,No,No,No,5,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mensual,Si,Cheque electrónico,92.5,452.7,3.08
2465-BLLEU,No,Masculino,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,Si,Cheque por correo,19.75,19.75,0.66
2466-FCCPT,No,Femenino,No,Si,Si,20,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Anual,No,Transferencia bancaria,19.7,395.6,0.66
2466-NEJOJ,No,Masculino,No,Si,Si,8,Si,No,No,Sin servicio de internet,Sin servicio de internet,No internet service,No internet service,No internet service,No internet service,Mensual,No,Tarjeta de credito,19.65,169.75,0.65
2468-SJFLM,No,Masculino,No,No,No,1,Si,No,Fibra optica,No,No,No,Si,No,No,Mensual,Si,Cheque por correo,74.3,74.3,2.48
2469-DTSGX,No,Femenino,Si,No,No,72,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Doble,No,Cheque electrónico,111.65,7943.45,3.72
2472-OVKUP,Yes,Masculino,No,Si,No,6,Si,No,Fibra optica,No,Si,Si,No,No,Si,Mensual,Si,Cheque electrónico,91.0,531,3.03
2474-BRUCM,Yes,Masculino,Si,Si,No,40,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Mensual,No,Cheque electrónico,101.85,4086.3,3.4
2474-LCNUE,No,Femenino,No,Si,No,23,Si,Si,DSL,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de credito,73.65,1642.75,2.46
2475-MROZF,No,Masculino,No,No,No,30,Si,Si,Fibra optica,Si,Si,Si,Si,No,No,Mensual,Si,Tarjeta de credito,95.0,2852.4,3.17
2476-YGEFM,No,Femenino,No,No,No,29,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito,76.0,2215.25,2.53
2478-EEWWM,No,Masculino,No,Si,No,59,No,Sin servicio telefonico,DSL,No,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,44.3,2666.75,1.48
